Referencia,Perfil,Género,Jornada laboral,Equipo,Ubicación,Nivel Estudios,Estado Civil,Fecha Nacimiento,Edad,Antigüedad,Fecha Fin,Años en Empresa,Grupo Profesional,Salario mensual,Categoria,Distancia al trabajo (KM),Promociones,Nivel de satisfacción
TRB-0000145,Activo,Mujer,COMPLETA,NIGER,ESPAÑA,Máster,SOLTERO/A,21/05/1992,33,26/04/2021,,4,GRUPO 2.2,2584,TECNICAS,12,1,3
TRB-0000146,Activo,Hombre,COMPLETA,ADMINISTRACION,ESPAÑA,Máster,CASADO,17/06/1994,31,09/08/2021,,4,GRUPO 2.2,2619,ADMINISTRACION,9,2,4
TRB-0000147,No activo,Mujer,COMPLETA,EL SALVADOR,EXPATRIADO,Grado Universitario,SOLTERO/A,22/02/1997,28,26/04/2021,15/01/2025,3,GRUPO 2.2,2445,TECNICAS,19,2,3
TRB-0000148,Activo,Mujer,COMPLETA,EUSKADI,ESPAÑA,Máster,SOLTERO/A,19/12/1974,51,01/05/2023,,2,GRUPO 2.2,2440,TECNICAS,17,0,4
TRB-0000149,No activo,Mujer,COMPLETA,ORIENTE MEDIO,EXPATRIADO,Máster,SOLTERO/A,17/09/1993,32,05/05/2021,31/07/2022,1,GRUPO 3.1,2195,TECNICAS,15,1,2
TRB-0000150,Activo,Hombre,COMPLETA,SANTIAGO DE COMPOSTELA,ESPAÑA,Máster,CASADO,12/02/1989,36,24/05/2021,,4,GRUPO 3.1,2330,TECNICAS,18,1,4
TRB-0000151,No activo,Mujer,COMPLETA,BARCELONA,ESPAÑA,Máster,SOLTERO/A,27/05/1996,29,01/01/2022,11/04/2023,1,GRUPO 3.2,2012,TECNICAS,20,1,3
TRB-0000152,No activo,Mujer,COMPLETA,MAGREB,EXPATRIADO,Máster,SOLTERO/A,14/04/1986,39,16/06/2021,24/04/2023,1,GRUPO 3.1,2195,TECNICAS,16,0,3
TRB-0000153,No activo,Mujer,COMPLETA,VALLADOLID,ESPAÑA,Grado Universitario,SOLTERO/A,10/06/1996,29,19/07/2021,02/05/2023,1,GRUPO 3.2,2012,TECNICAS,9,0,3
TRB-0000154,Activo,Mujer,COMPLETA,ADMINISTRACION,ESPAÑA,Máster,SOLTERO/A,05/05/1985,40,02/08/2021,,4,GRUPO 2.2,2619,ADMINISTRACION,11,2,4
TRB-0000155,No activo,Mujer,PARCIAL,BARCELONA,ESPAÑA,Máster,SOLTERO/A,04/01/1985,40,02/08/2021,30/12/2022,1,GRUPO 4,1930,TECNICAS,12,0,2
TRB-0000157,Activo,Mujer,COMPLETA,GIJON,ESPAÑA,Máster,CASADO,26/05/1979,46,06/09/2021,,4,GRUPO 3.1,2260,TECNICAS,14,1,3
TRB-0000159,No activo,Mujer,COMPLETA,EUSKADI,ESPAÑA,Grado Universitario,SOLTERO/A,29/03/1974,51,01/10/2021,30/06/2022,0,GRUPO 3.2,2012,TECNICAS,9,1,3
TRB-0000160,No activo,Hombre,PARCIAL,SEVILLA,ESPAÑA,Grado Universitario,SOLTERO/A,09/12/1999,26,15/11/2021,18/06/2022,0,GRUPO 4,1930,TECNICAS,6,0,3
TRB-0000161,Activo,Hombre,COMPLETA,SEVILLA,ESPAÑA,Grado Superior,SOLTERO/A,14/01/2000,25,15/11/2021,,4,GRUPO 3.1,2260,TECNICAS,8,2,2
TRB-0000162,Activo,Hombre,COMPLETA,MADRID,ESPAÑA,Máster,SOLTERO/A,18/04/1994,31,24/11/2021,,4,GRUPO 3.1,2362,TECNICAS,5,1,4
TRB-0000163,No activo,Mujer,COMPLETA,PAMPLONA,ESPAÑA,Grado Universitario,SOLTERO/A,22/10/1998,27,09/12/2021,30/06/2022,0,GRUPO 3.2,2012,TECNICAS,10,1,2
TRB-0000164,No activo,Mujer,COMPLETA,BARCELONA,ESPAÑA,Máster,SOLTERO/A,10/05/1991,34,29/11/2021,30/01/2022,0,GRUPO 2.2,2445,TECNICAS,16,0,2
TRB-0000165,Activo,Mujer,COMPLETA,BARCELONA,ESPAÑA,Máster,SOLTERO/A,21/11/1994,31,01/04/2025,,0,GRUPO 3.1,2190,TECNICAS,19,0,4
TRB-0000166,Activo,Mujer,COMPLETA,EL SALVADOR,EXPATRIADO,Máster,SOLTERO/A,10/08/1994,31,24/01/2022,,3,GRUPO 2.1 (R),2839,REFERENTES,19,3,3
TRB-0000167,Activo,Mujer,COMPLETA,EL SALVADOR,ESPAÑA,Máster,SOLTERO/A,10/10/1982,43,17/01/2022,,3,GRUPO 2.2,2529,TECNICAS,9,2,4
TRB-0000168,No activo,Hombre,COMPLETA,INNOVACION Y ESS,ESPAÑA,Bachillerato,SOLTERO/A,24/10/1994,31,07/02/2022,06/08/2022,0,GRUPO 3.1,2195,TECNICAS,11,1,1
TRB-0000169,No activo,Hombre,COMPLETA,INNOVACION Y ESS,ESPAÑA,Máster,SOLTERO/A,16/10/1985,40,07/02/2022,30/11/2023,1,GRUPO 2.2,2445,TECNICAS,14,1,2
TRB-0000170,No activo,Hombre,PARCIAL,ZARAGOZA,ESPAÑA,Máster,SOLTERO/A,10/04/1979,46,14/02/2022,13/08/2022,0,GRUPO 3.2,2012,TECNICAS,10,0,1
TRB-0000171,No activo,Mujer,COMPLETA,EUSKADI,ESPAÑA,Máster,SOLTERO/A,23/11/1993,32,21/03/2022,14/03/2022,3,GRUPO 3.2,2012,TECNICAS,13,0,1
TRB-0000172,Activo,Mujer,COMPLETA,SANTIAGO DE COMPOSTELA,ESPAÑA,Grado Universitario,CASADO,24/06/1985,40,01/03/2022,,3,GRUPO 2.2,2445,TECNICAS,7,2,3
TRB-0000173,No activo,Mujer,PARCIAL,SANTIAGO DE COMPOSTELA,ESPAÑA,Máster,SOLTERO/A,01/09/1982,43,01/03/2022,31/08/2022,0,GRUPO 3.1,2195,TECNICAS,8,0,4
TRB-0000174,No activo,Hombre,COMPLETA,UNION EUROPEA,EXPATRIADO,Máster,SOLTERO/A,23/01/1989,36,15/03/2022,20/01/2023,0,GRUPO 2.2,2445,RESPONSABLE DE AREA,8,2,2
TRB-0000175,No activo,Hombre,COMPLETA,BARCELONA,ESPAÑA,Grado Universitario,SOLTERO/A,07/05/1994,31,15/03/2022,14/09/2022,0,GRUPO 3.1,2195,RESPONSABLE DE AREA,14,2,1
TRB-0000176,Activo,Mujer,COMPLETA,EUSKADI,ESPAÑA,Máster,SOLTERO/A,18/09/1989,36,21/03/2022,,3,GRUPO 3.1,1829,TECNICAS,19,0,3
TRB-0000178,Activo,Mujer,COMPLETA,SEVILLA,ESPAÑA,Máster,CASADO,16/08/1976,49,27/10/2008,,17,GRUPO 2.2,2501,TECNICAS,16,2,3
TRB-0000180,Activo,Mujer,COMPLETA,SANTANDER,ESPAÑA,Grado Superior,SOLTERO/A,24/05/1993,32,11/07/2022,,3,GRUPO 2.2,2457,TECNICAS,16,3,4
TRB-0000181,No activo,Hombre,COMPLETA,ORIENTE MEDIO,EXPATRIADO,Máster,SOLTERO/A,13/08/1992,33,01/08/2022,30/08/2023,1,GRUPO 3.2,2012,TECNICAS,9,1,2
